SKU ID,SKU Name,Vendor Name,ABC Class,Demand Variability,CV (%),Avg Daily Demand,StdDev Daily Demand,Total Demand,Cost per SKU,Unit Price,Avg Lead Time,Max Lead Time,Safety Stock,Reorder Point,EOQ,Orders per Year,Days Between Orders,Annual Consumption Value,High Risk
1244AA,Product 016,Apotex Corp,A,Medium,59.15780240701509,679.7408960439896,402.1197761613772,550590.1257956314,42.0,60.0,45,67,4437.0,35025.0,3621.0,152.1,2.0,23124785.28341652,False
1295CA,Product 022,Mylan Group,A,Medium,54.83617535628519,0.17137776138026758,0.09397700975215953,133.67465387660874,122500.0,175000.0,120,158,2.0,23.0,1.0,133.7,3.0,16375145.099884572,False
1281BA,Product 020,Heritage ,A,Medium,60.055965831850465,0.17229450905258065,0.10347313148677234,134.3897170610129,97650.0,139500.0,60,85,1.0,11.0,1.0,134.4,3.0,13123155.87100791,False
1193BA,Product 010,Major Corp,A,High,128.93682033856643,24.829885057471266,32.01486428682428,21602.0,570.5,815.0,90,138,500.0,2735.0,195.0,110.8,3.0,12323941.0,True
3205AA,Product 262,Apotex Corp,A,Medium,63.514970155865136,0.21640864593278608,0.13745188687892093,188.2755219615239,53410.0,76300.0,60,91,2.0,15.0,2.0,94.1,4.0,10055795.627964992,False
1116CA,Product 004,Accord Ltd,A,Medium,91.26544723011793,591.5930555555556,539.9200479350978,425947.0,22.96,32.8,90,140,8425.0,61668.0,4307.0,98.9,4.0,9779743.120000001,False
1126CA,Product 005,AstraZeneca ,A,High,101.96694144940628,478.25287356321843,487.65982756631,416080.0,22.96,32.8,45,62,5381.0,26902.0,4257.0,97.7,4.0,9553196.8,False
2117BA,Product 132,Cixi Group,A,Medium,67.05224548957172,6.441771901270782,4.319352709118336,5604.34155410558,1696.8,2424.0,120,168,78.0,851.0,57.0,98.3,4.0,9509446.749006348,False
1283CA,Product 021,Fullerton Corp,A,Medium,58.960800815031334,0.1355954370618301,0.07994815556029683,126.10375646750201,68833.331,98333.33,60,92,1.0,9.0,1.0,126.1,3.0,8680141.609270956,False
1967BA,Product 107,McKesson Corp,A,High,123.81426872759921,75.97797619047618,94.07157561426753,63821.5,125.055,178.65,120,163,1695.0,10812.0,714.0,89.4,4.0,7981197.6825,True
1083AA,Product 003,Kinray Ltd,A,Medium,81.88475835367677,444.37471264367815,363.87515963312137,386606.0,20.314,29.02,45,68,4015.0,24012.0,4363.0,88.6,4.0,7853514.284,False
1077CA,Product 002,McKesson Corp,A,Medium,75.307977123621,537.8880952380953,405.07264371258555,451826.0,16.08439,22.9777,45,70,4470.0,28675.0,5300.0,85.3,4.0,7267345.59614,False
2418CA,Product 168,Accord Ltd,A,Medium,60.309038838010466,1978.8739298257178,1193.4398468938562,1721620.3189483744,4.06,5.8,60,85,15206.0,133938.0,20592.0,83.6,4.0,6989778.4949304,False
2422BA,Product 169,Kinray Ltd,A,Medium,66.98107680192412,245.62129415182284,164.51978767771243,191584.60943842182,34.93,49.9,30,45,1482.0,8851.0,2342.0,81.8,4.0,6692050.407684074,False
1964BA,Product 106,Cixi Group,A,High,228.19149174426627,102.38777777777777,233.64019747491548,92149.0,69.389383,99.12769,60,96,2977.0,9120.0,1152.0,80.0,5.0,6394162.254067,False
1993AA,Product 113,Mylan Group,A,Medium,78.76045232128264,121.68103448275862,95.8365331478366,105862.5,58.625875,83.75125,60,94,1221.0,8522.0,1344.0,78.8,5.0,6206281.6921875,False
2331CA,Product 158,Macoven Group,A,Medium,88.6468429927956,47.498275862068965,42.10572202773321,41323.5,147.086933,210.12419,60,83,536.0,3386.0,530.0,78.0,5.0,6078146.875825499,False
1224AA,Product 014,Apotex Corp,A,High,123.73912609563979,16.548,20.47635058630647,12411.0,488.6,698.0,90,121,320.0,1809.0,159.0,78.1,5.0,6064014.600000001,True
2565CA,Product 191,Cixi Group,A,Medium,89.81223501351177,20.50922481905317,18.419793193937515,17843.025592576258,324.125081,463.03583,30,40,166.0,781.0,235.0,75.9,5.0,5783372.115478853,False
2573CA,Product 192,Heritage ,A,Medium,82.4487683020772,6.157427395229543,5.076723046461433,4987.51619013593,1133.293,1618.99,60,81,65.0,434.0,66.0,75.6,5.0,5652317.185667718,False
2473CA,Product 174,Apotex Corp,A,Medium,64.72084919930843,1847.3280280752385,1195.6063872671334,1330076.1802141718,4.165,5.95,60,92,15233.0,126073.0,17870.0,74.4,5.0,5539767.290592025,False
1921AA,Product 100,SUPERVALU Group,A,High,165.11318891498013,0.2833333333333334,0.46782070192577707,153.0,35000.0,50000.0,90,142,7.0,32.0,2.0,76.5,5.0,5355000.0,True
3007CA,Product 238,Cixi Group,A,Medium,62.25548209816301,0.4329280403117125,0.2695214386341861,337.68387144313573,13182.631,18832.33,30,47,2.0,15.0,5.0,67.5,5.0,4451561.871886295,False
2317CA,Product 156,Fullerton Corp,A,Medium,92.62735702019008,182.42364516129032,168.9742010927931,169653.99,26.086704,37.26672,60,89,2153.0,13098.0,2550.0,66.5,5.0,4425713.4195489595,False
